"","agree_rate","agree_vote","disagree_vote","valid_vote","vote_rate","is_municipality","is_offshoreIsland","location","gender_ratio","young_ratio","middle_ratio","old_ratio","young_old_ratio","age_med","married_ratio","college_ratio","salary_med"
"連江縣南竿鄉",0.247882020709131,790,2397,3187,0.508899551153072,"0","1","offshore island",1.32375134746676,0.232565331683934,0.643575073449822,0.123859594866244,1.87765293383271,45,0.658103061986557,0.401941747572816,1022
"連江縣莒光鄉",0.244385733157199,185,572,757,0.529372045914922,"0","1","offshore island",1.58188153310105,0.206477732793522,0.645074224021592,0.148448043184885,1.39090909090909,48,0.703877005347594,0.348262032085562,948
"連江縣北竿鄉",0.229553903345725,247,829,1076,0.522352941176471,"0","1","offshore island",1.29341963322546,0.213546566321731,0.632173095014111,0.154280338664158,1.38414634146341,47,0.682803135085293,0.363762102351314,918
"連江縣東引鄉",0.487410071942446,271,285,556,0.507029876977153,"0","1","offshore island",1.45064377682403,0.257443082311734,0.645359019264448,0.0971978984238179,2.64864864864865,42,0.658682634730539,0.364414029084688,965
"金門縣金沙鎮",0.190865384615385,1191,5049,6240,0.354310344827586,"0","1","offshore island",0.960916869124327,0.21342383107089,0.624488256841198,0.162087912087912,1.31671651711532,49,0.696382632435554,0.362839292276999,874
"金門縣烏坵鄉",0.229813664596273,37,124,161,0.291005291005291,"0","1","offshore island",1.03225806451613,0.239858906525573,0.63668430335097,0.123456790123457,1.94285714285714,45,0.6738768718802,0.402662229617304,923
"金門縣烈嶼鄉",0.20241023118544,823,3243,4066,0.364765330592669,"0","1","offshore island",0.971337042657225,0.212880602121108,0.630944235374615,0.156175162504276,1.36308871851041,48,0.704187604690117,0.350837520938023,850
"金門縣金城鎮",0.255522008580963,3216,9370,12586,0.350099166997223,"0","1","offshore island",0.976586181666144,0.214225277630883,0.638180856689582,0.147593865679535,1.45145109279828,47,0.684264690748173,0.429633631779356,938
"金門縣金湖鎮",0.234390540391203,2121,6928,9049,0.366621647694385,"0","1","offshore island",0.990631239440946,0.219157472417252,0.640228377440012,0.140614150142736,1.55857338820302,46,0.684855733293467,0.402526536104051,906
"金門縣金寧鄉",0.31032714593375,3026,6725,9751,0.361799588097436,"0","1","offshore island",1.00705228665052,0.306477373558119,0.570576752440107,0.122945874001775,2.49278290993072,43,0.617298005933899,0.375526116056027,914
"宜蘭縣冬山鄉",0.329731840666493,7599,15447,23046,0.539389935029182,"0","0","county",1.05058207742983,0.21527120695346,0.603476730113324,0.181252062933216,1.18768969284934,47,0.671049272402349,0.309590673134201,739
"宜蘭縣三星鄉",0.317833698030635,2905,6235,9140,0.524276940843,"0","0","county",1.16055668703327,0.1961770096884,0.587954962031946,0.215868028279654,0.908782144590005,50,0.684419148287428,0.251143408883017,733
"宜蘭縣羅東鎮",0.345472030774163,10777,20418,31195,0.575512256006657,"0","0","county",0.862133479565175,0.215562638580931,0.598981430155211,0.185455931263858,1.16233887539697,47,0.65369289528943,0.374729253815248,811
"宜蘭縣大同鄉",0.206154987022618,556,2141,2697,0.585410334346505,"0","0","county",1.18233995584989,0.247420594780498,0.636253287477241,0.116326117742262,2.12695652173913,44,0.695989149389653,0.130013563262934,624
"宜蘭縣壯圍鄉",0.351128818061089,3966,7329,11295,0.578682333193454,"0","0","county",1.12397348372415,0.219825779102809,0.59598453440164,0.184189686495551,1.19347496206373,47,0.666816749212067,0.255875731652409,713
